Estádios;Folha/idade; (Área/g/mL) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;V; 137.874.507 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;V; 114.316.097 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;V; 120.128.610 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;J; 213.404.359 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;J; 109.842.358 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;J; 200.529.239 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;I; 278.499.591 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;I; 277.790.555 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V3;I; 298.787.546 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;V; 122.261.847 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;V; 133.508.409 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;V; 103.440.506 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;J; 133.472.557 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;J; 6.466.255 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;J; 16.342.877 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;I; 107.421.548 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;I; 357.795.332 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V4;I; 353.430.481 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;V; 14.111.410 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;V; 87.605.445 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;V; 98.131.888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;J; 110.951.988 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;J; 133.958.913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;J; 153.251.168 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;I; 168.546.960 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V5;I; 210.456.691 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
